Utility,Year,Month,Zip Code,Uncollectible Arrearage Amount
Avista,2025,8,99159,2783.3
Avista,2025,1,99212,15579.33
Avista,2025,7,99203,14229.35
Avista,2025,6,99167,1373.17
Avista,2025,3,99208,36254.56
Avista,2025,2,99173,2309.69
Avista,2025,7,99371,365.76
Avista,2025,8,99109,12928.22
Avista,2025,5,99181,1604.83
Avista,2025,8,99181,1000.74
Avista,2025,3,99157,438.85
Avista,2025,4,99003,2565.63
Avista,2025,6,99402,1817.1
Avista,2025,1,99402,1470.26
Avista,2025,1,99206,9104.15
Avista,2025,2,98620,269.13
Avista,2025,2,99402,1600.72
Avista,2025,5,99109,699.6
Avista,2025,9,99163,27633.0
Avista,2025,1,99040,389.34
Avista,2025,9,99224,19606.14
Avista,2025,8,99130,653.53
Avista,2025,8,99160,225.99
Avista,2025,1,99019,2465.13
Avista,2025,6,99033,2301.07
Avista,2025,7,99029,2567.68
Avista,2025,2,99159,437.36
Avista,2025,3,99181,2123.63
Avista,2025,9,99344,8101.74
Avista,2025,8,99128,164.52
Avista,2025,4,99126,671.91
Avista,2025,8,99016,12708.34
Avista,2025,8,99004,4041.49
Avista,2025,6,99027,6642.58
Avista,2025,4,99205,26716.78
Avista,2025,3,99013,2291.74
Avista,2025,7,99022,3159.21
Avista,2025,3,99204,8613.27
Avista,2025,5,99009,2047.81
Avista,2025,3,99141,3372.79
Avista,2025,6,99134,965.09
Avista,2025,1,99110,753.84
Avista,2025,9,99207,39144.88
Avista,2025,1,99130,852.59
Avista,2025,9,99114,16884.62
Avista,2025,8,99143,689.0
Avista,2025,3,99016,5742.33
Avista,2025,4,99026,322.33
Avista,2025,6,99031,7364.49
Avista,2025,2,99025,585.35
Avista,2025,5,99012,415.96
Avista,2025,8,99169,1251.32
Avista,2025,4,99157,40.06
Avista,2025,9,99181,293.81
Avista,2025,8,99129,782.6
Avista,2025,7,99208,55326.19
Avista,2025,8,99111,1917.66
Avista,2025,3,99021,4330.55
Avista,2025,6,99158,28.09
Avista,2025,6,99148,2881.31
Avista,2025,5,99114,12721.53
Avista,2025,6,99326,148.43
Avista,2025,8,99013,342.16
Avista,2025,6,99341,2006.31
Avista,2025,6,99012,411.45
Avista,2025,7,98648,1052.46
Avista,2025,8,99171,337.62
Avista,2025,6,99206,27024.2
Avista,2025,2,99205,15396.8
Avista,2025,4,99170,410.34
Avista,2025,9,99016,18348.59
Avista,2025,6,99006,15447.57
Avista,2025,6,99163,34524.31
Avista,2025,4,99224,19008.38
Avista,2025,7,99109,4626.69
Avista,2025,2,99134,132.06
Avista,2025,4,99029,1516.14
Avista,2025,5,99203,13525.2
Avista,2025,9,99004,2035.68
Avista,2025,8,99032,967.21
Avista,2025,3,99012,3309.68
Avista,2025,9,99159,339.78
Avista,2025,1,99111,474.4
Avista,2025,2,99021,2171.84
Avista,2025,4,99018,543.87
Avista,2025,2,99204,4373.19
Avista,2025,1,99114,4093.67
Avista,2025,9,99161,935.05
Avista,2025,5,99027,3855.97
Avista,2025,5,99111,381.73
Avista,2025,8,99202,21028.05
Avista,2025,7,99114,16663.71
Avista,2025,4,99013,4282.26
Avista,2025,8,99003,3384.54
Avista,2025,3,99027,1790.93
Avista,2025,3,99223,17445.17
Avista,2025,5,99122,1747.77
Avista,2025,1,99205,27998.35
Avista,2025,7,99040,1286.94
Avista,2025,5,99403,14093.18
Avista,2025,7,99026,752.3
Avista,2025,1,99122,974.01
Avista,2025,1,99344,4673.2
Avista,2025,5,99033,604.51
Avista,2025,8,99201,23352.39
Avista,2025,6,99157,2873.22
Avista,2025,4,99159,985.7
Avista,2025,9,99157,578.84
Avista,2025,7,99006,7023.29
Avista,2025,4,99031,249.1
Avista,2025,5,99223,14518.42
Avista,2025,4,98648,37.17
Avista,2025,4,99185,3247.0
Avista,2025,8,99173,2212.06
Avista,2025,5,99173,6374.3
Avista,2025,7,99224,22208.68
Avista,2025,5,99005,1303.35
