Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
Avista,2025,2,99218,30 Days,9036.62
Avista,2025,6,99143,60 Days,1557.44
Avista,2025,7,99146,Total Arrearages,243.36
Avista,2025,5,99125,90 Days +,2813.1
Avista,2025,2,99122,60 Days,3225.25
Avista,2025,9,99013,90 Days +,21531.0
Avista,2025,9,99170,60 Days,852.67
Avista,2025,8,99039,90 Days +,0.0
Avista,2025,6,99138,90 Days +,8538.25
Avista,2025,4,99161,90 Days +,5547.4
Avista,2025,8,99125,30 Days,543.25
Avista,2025,1,99111,Total Arrearages,11012.19
Avista,2025,6,99344,30 Days,7262.64
Avista,2025,2,99217,90 Days +,37077.39
Avista,2025,8,99151,30 Days,328.06
Avista,2025,1,99179,Total Arrearages,770.82
Avista,2025,7,99141,60 Days,12682.44
Avista,2025,9,99146,Total Arrearages,165.8
Avista,2025,8,99218,Total Arrearages,79587.4
Avista,2025,4,99101,90 Days +,7472.84
Avista,2025,6,99033,30 Days,1098.13
Avista,2025,7,99003,90 Days +,4534.46
Avista,2025,7,99137,30 Days,349.97
Avista,2025,5,99117,90 Days +,4580.43
Avista,2025,9,99122,60 Days,6185.25
Avista,2025,2,99143,90 Days +,400.0
Avista,2025,7,99027,Total Arrearages,38127.78
Avista,2025,1,99170,60 Days,395.78
Avista,2025,9,98648,Total Arrearages,1067.5
Avista,2025,2,99107,Total Arrearages,0.0
Avista,2025,9,99212,30 Days,28529.28
Avista,2025,3,99016,Total Arrearages,42998.27
Avista,2025,4,99326,90 Days +,0.0
Avista,2025,3,99151,60 Days,815.84
Avista,2025,2,99021,60 Days,3546.38
Avista,2025,4,99341,90 Days +,646.51
Avista,2025,8,99027,30 Days,5639.84
Avista,2025,2,99185,60 Days,181.25
Avista,2025,1,99016,60 Days,12550.19
Avista,2025,2,99129,Total Arrearages,4759.53
Avista,2025,8,99220,Total Arrearages,0.0
Avista,2025,9,99025,90 Days +,1972.98
Avista,2025,4,99202,90 Days +,50183.12
