Utility,Zip Code,Month,Arrearage Count
PSE,98276,2024-06-01,100
PSE,98244,2023-07-01,312
Avista,99033,2021-07-01,37
Avista,99102,2021-07-01,44
PAC, 99348  ,2024-08-01,27
Avista,99163,2025-07-01,1705
Avista,99125,2024-04-01,22
PSE,98513,2022-05-01,1984
PSE,98201,2023-08-01,956
PSE,98226,2022-08-01,3161
Avista,99212,2021-08-01,1245
PSE,98236,2021-08-01,324
Avista,99003,2021-12-01,87
Avista,99326,2021-05-01,17
PSE,98532,2024-10-01,178
PSE,98014,2025-03-01,268
PSE,98252,2024-04-01,246
CNG,99344,2024-09-01,168
PSE,98110,2024-06-01,1366
Avista,99134,2022-02-01,28
PSE,98516,2023-05-01,2109
PSE,98328,2022-09-01,66
Avista,99029,2021-03-01,30
CNG,98277,2023-11-01,300
NWN,98683,2025-03-01,967
PSE,98112,2021-02-01,682
NWN,98685,2024-01-01,323
Avista,99228,2023-05-01,0
PSE,98010,2024-04-01,500
PAC,98948,2022-05-01,990
Avista,99208,2024-06-01,2797
Avista,99001,2024-08-01,155
PSE,98247,2022-02-01,565
PSE,98101,2025-06-01,49
PSE,98104,2025-03-01,66
PSE,98388,2024-01-01,138
PSE,98055,2023-03-01,2345
CNG,98273,2025-05-01,697
Avista,99034,2023-08-01,9
Avista,99203,2021-01-01,621
CNG,98930,2023-10-01,223
Avista,99371,2022-07-01,16
Avista,99013,2022-09-01,124
PSE,98946,2022-09-01,35
PSE,98430,2021-02-01,1
PSE,98418,2023-03-01,532
Avista,99004,2021-04-01,173
PSE,98248,2024-05-01,2349
Avista,99176,2023-06-01,3
NWN,98685,2022-10-01,571
PSE,98576,2025-02-01,505
CNG,98273,2023-09-01,633
PSE,98070,2021-05-01,579
Avista,99117,2022-07-01,20
PAC,98930,2022-07-01,874
PSE,98391,2025-03-01,3136
PAC, 98901  ,2024-01-01,2229
NWN,98762,2025-02-01,0
CNG,98908,2022-03-01,406
PSE,98506,2023-03-01,1467
Avista,99033,2021-08-01,35
PSE,98346,2021-09-01,541
PSE,98371,2021-02-01,1327
PSE,98144,2021-05-01,1109
PSE,98148,2024-09-01,663
CNG,98626,2024-10-01,36
Avista,99160,2025-05-01,9
NWN,97301,2025-05-01,0
Avista,99006,2021-01-01,314
