Utility,Year,Month,Zip Code,Collections Accounts Customer Count
Avista,2025,6,99003,2
Avista,2025,6,99004,14
Avista,2025,6,99005,5
Avista,2025,6,99006,19
Avista,2025,6,99008,2
Avista,2025,6,99009,2
Avista,2025,6,99012,1
Avista,2025,6,99013,4
Avista,2025,6,99016,46
Avista,2025,6,99019,9
Avista,2025,6,99021,15
Avista,2025,6,99022,21
Avista,2025,6,99025,5
Avista,2025,6,99026,4
Avista,2025,6,99027,12
Avista,2025,6,99029,4
Avista,2025,6,99030,1
Avista,2025,6,99031,5
Avista,2025,6,99032,3
Avista,2025,6,99033,1
Avista,2025,6,99037,19
Avista,2025,6,99101,7
Avista,2025,6,99102,2
Avista,2025,6,99109,6
Avista,2025,6,99110,1
Avista,2025,6,99111,9
Avista,2025,6,99114,23
Avista,2025,6,99117,4
Avista,2025,6,99122,6
Avista,2025,6,99126,3
Avista,2025,6,99129,7
Avista,2025,6,99130,2
Avista,2025,6,99134,1
Avista,2025,6,99138,6
Avista,2025,6,99141,6
Avista,2025,6,99148,5
Avista,2025,6,99149,1
Avista,2025,6,99151,1
Avista,2025,6,99157,4
Avista,2025,6,99158,1
Avista,2025,6,99159,1
Avista,2025,6,99161,1
Avista,2025,6,99163,77
Avista,2025,6,99167,3
Avista,2025,6,99169,8
Avista,2025,6,99171,1
Avista,2025,6,99173,5
Avista,2025,6,99179,1
Avista,2025,6,99181,9
Avista,2025,6,99185,1
Avista,2025,6,99201,92
Avista,2025,6,99202,73
Avista,2025,6,99203,27
Avista,2025,6,99204,54
Avista,2025,6,99205,113
Avista,2025,6,99206,59
Avista,2025,6,99207,174
Avista,2025,6,99208,164
Avista,2025,6,99212,78
Avista,2025,6,99216,56
Avista,2025,6,99217,79
Avista,2025,6,99218,41
Avista,2025,6,99223,50
Avista,2025,6,99224,49
Avista,2025,6,99326,1
Avista,2025,6,99341,2
Avista,2025,6,99344,20
Avista,2025,6,99402,4
Avista,2025,6,99403,52
Avista,2025,7,98620,4
Avista,2025,7,98648,1
Avista,2025,7,99001,27
Avista,2025,7,99003,3
Avista,2025,7,99004,8
Avista,2025,7,99005,8
Avista,2025,7,99006,14
Avista,2025,7,99008,1
Avista,2025,7,99009,4
Avista,2025,7,99012,3
Avista,2025,7,99013,5
Avista,2025,7,99016,39
Avista,2025,7,99019,20
Avista,2025,7,99021,11
Avista,2025,7,99022,9
Avista,2025,7,99025,1
Avista,2025,7,99026,1
Avista,2025,7,99027,8
Avista,2025,7,99029,2
Avista,2025,7,99030,2
Avista,2025,7,99031,2
Avista,2025,7,99037,9
Avista,2025,7,99040,1
Avista,2025,7,99101,2
Avista,2025,7,99102,2
Avista,2025,7,99103,2
Avista,2025,7,99109,8
Avista,2025,7,99110,2
Avista,2025,7,99111,9
Avista,2025,7,99114,25
Avista,2025,7,99117,3
Avista,2025,7,99122,3
Avista,2025,7,99126,2
Avista,2025,7,99134,1
Avista,2025,7,99138,4
Avista,2025,7,99141,17
Avista,2025,7,99148,7
Avista,2025,7,99157,3
Avista,2025,7,99158,1
Avista,2025,7,99159,2
Avista,2025,7,99163,104
Avista,2025,7,99167,1
Avista,2025,7,99169,5
Avista,2025,7,99170,3
Avista,2025,7,99173,8
Avista,2025,7,99179,2
Avista,2025,7,99181,5
Avista,2025,7,99185,2
Avista,2025,7,99201,83
Avista,2025,7,99202,84
Avista,2025,7,99203,20
Avista,2025,7,99204,61
Avista,2025,7,99205,122
Avista,2025,7,99206,75
Avista,2025,7,99207,164
Avista,2025,7,99208,135
Avista,2025,7,99212,70
Avista,2025,7,99216,62
Avista,2025,7,99217,44
Avista,2025,7,99218,32
Avista,2025,7,99223,59
Avista,2025,7,99224,44
Avista,2025,7,99341,2
Avista,2025,7,99344,34
Avista,2025,7,99371,2
Avista,2025,7,99402,2
Avista,2025,7,99403,57
Avista,2025,8,98620,3
Avista,2025,8,99001,18
Avista,2025,8,99003,6
Avista,2025,8,99004,9
Avista,2025,8,99005,6
Avista,2025,8,99006,13
Avista,2025,8,99009,7
Avista,2025,8,99012,1
Avista,2025,8,99013,1
Avista,2025,8,99016,27
Avista,2025,8,99019,7
Avista,2025,8,99021,8
Avista,2025,8,99022,11
Avista,2025,8,99025,2
Avista,2025,8,99026,2
Avista,2025,8,99027,5
Avista,2025,8,99029,4
Avista,2025,8,99030,1
Avista,2025,8,99032,2
Avista,2025,8,99033,2
Avista,2025,8,99037,8
Avista,2025,8,99040,2
Avista,2025,8,99101,2
Avista,2025,8,99103,1
Avista,2025,8,99109,14
Avista,2025,8,99110,2
Avista,2025,8,99111,4
Avista,2025,8,99114,13
Avista,2025,8,99117,1
Avista,2025,8,99122,6
Avista,2025,8,99126,1
Avista,2025,8,99128,1
Avista,2025,8,99129,3
Avista,2025,8,99130,1
Avista,2025,8,99134,3
Avista,2025,8,99137,1
Avista,2025,8,99138,1
Avista,2025,8,99141,4
Avista,2025,8,99143,2
Avista,2025,8,99146,1
Avista,2025,8,99148,3
Avista,2025,8,99157,3
Avista,2025,8,99159,3
Avista,2025,8,99160,1
Avista,2025,8,99161,4
Avista,2025,8,99163,135
Avista,2025,8,99169,5
Avista,2025,8,99170,1
Avista,2025,8,99171,2
Avista,2025,8,99173,4
Avista,2025,8,99181,2
Avista,2025,8,99201,62
Avista,2025,8,99202,60
Avista,2025,8,99203,26
Avista,2025,8,99204,36
Avista,2025,8,99205,88
Avista,2025,8,99206,42
Avista,2025,8,99207,119
Avista,2025,8,99208,122
Avista,2025,8,99212,53
Avista,2025,8,99216,57
Avista,2025,8,99217,38
Avista,2025,8,99218,35
Avista,2025,8,99223,37
Avista,2025,8,99224,38
Avista,2025,8,99341,3
Avista,2025,8,99344,23
Avista,2025,8,99371,1
Avista,2025,8,99402,2
Avista,2025,8,99403,36
Avista,2025,9,98620,2
Avista,2025,9,99001,10
Avista,2025,9,99003,2
Avista,2025,9,99004,8
Avista,2025,9,99005,6
Avista,2025,9,99006,16
Avista,2025,9,99008,1
Avista,2025,9,99009,1
Avista,2025,9,99012,3
Avista,2025,9,99013,4
Avista,2025,9,99016,34
Avista,2025,9,99019,20
Avista,2025,9,99021,6
