Utility,Year,Month,Zip Code,Disconnection Notice Count
Avista,2025,6,99014,1
Avista,2025,6,99016,162
Avista,2025,6,99018,1
Avista,2025,6,99019,89
Avista,2025,6,99020,1
Avista,2025,6,99021,69
Avista,2025,6,99022,56
Avista,2025,6,99023,2
Avista,2025,6,99025,27
Avista,2025,6,99026,23
Avista,2025,6,99027,62
Avista,2025,6,99029,16
Avista,2025,6,99030,12
Avista,2025,6,99031,4
Avista,2025,6,99032,6
Avista,2025,6,99033,13
Avista,2025,6,99034,3
Avista,2025,6,99036,1
Avista,2025,6,99037,26
Avista,2025,6,99039,3
Avista,2025,6,99040,17
Avista,2025,6,99101,28
Avista,2025,6,99102,8
Avista,2025,6,99103,6
Avista,2025,6,99107,1
Avista,2025,6,99109,43
Avista,2025,6,99110,11
Avista,2025,6,99111,43
Avista,2025,6,99113,1
Avista,2025,6,99114,130
Avista,2025,6,99117,2
Avista,2025,6,99122,31
Avista,2025,6,99125,8
Avista,2025,6,99126,17
Avista,2025,6,99128,2
Avista,2025,6,99129,14
Avista,2025,6,99130,7
Avista,2025,6,99131,3
Avista,2025,6,99134,8
Avista,2025,6,99137,8
Avista,2025,6,99138,34
Avista,2025,6,99141,57
Avista,2025,6,99143,3
Avista,2025,6,99146,1
Avista,2025,6,99148,32
Avista,2025,6,99149,3
Avista,2025,6,99151,2
Avista,2025,6,99157,11
Avista,2025,6,99158,7
Avista,2025,6,99159,11
Avista,2025,6,99160,1
Avista,2025,6,99161,13
Avista,2025,6,99163,229
Avista,2025,6,99167,9
Avista,2025,6,99169,27
Avista,2025,6,99170,6
Avista,2025,6,99171,11
Avista,2025,6,99173,34
Avista,2025,6,99174,1
Avista,2025,6,99176,1
Avista,2025,6,99179,4
Avista,2025,6,99181,37
Avista,2025,6,99185,13
Avista,2025,6,99201,254
Avista,2025,6,99202,222
Avista,2025,6,99203,151
Avista,2025,6,99204,94
Avista,2025,6,99205,517
Avista,2025,6,99206,251
Avista,2025,6,99207,500
Avista,2025,6,99208,585
Avista,2025,6,99212,211
Avista,2025,6,99216,179
Avista,2025,6,99217,182
Avista,2025,6,99218,154
Avista,2025,6,99223,260
Avista,2025,6,99224,147
Avista,2025,6,99341,10
Avista,2025,6,99344,118
Avista,2025,6,99371,4
Avista,2025,6,99402,19
Avista,2025,6,99403,182
Avista,2025,7,98620,17
Avista,2025,7,98648,7
Avista,2025,7,99001,71
Avista,2025,7,99003,30
Avista,2025,7,99004,57
Avista,2025,7,99005,61
Avista,2025,7,99006,84
Avista,2025,7,99008,3
Avista,2025,7,99009,17
Avista,2025,7,99012,17
Avista,2025,7,99013,34
Avista,2025,7,99014,2
Avista,2025,7,99016,197
Avista,2025,7,99018,1
Avista,2025,7,99019,102
Avista,2025,7,99021,74
Avista,2025,7,99022,80
Avista,2025,7,99023,3
Avista,2025,7,99025,36
Avista,2025,7,99026,24
Avista,2025,7,99027,72
Avista,2025,7,99029,13
Avista,2025,7,99030,9
Avista,2025,7,99031,5
Avista,2025,7,99032,6
Avista,2025,7,99033,10
Avista,2025,7,99034,5
Avista,2025,7,99037,37
Avista,2025,7,99039,2
Avista,2025,7,99040,33
Avista,2025,7,99101,22
Avista,2025,7,99102,8
Avista,2025,7,99103,5
Avista,2025,7,99109,52
Avista,2025,7,99110,5
Avista,2025,7,99111,37
Avista,2025,7,99113,7
Avista,2025,7,99114,150
Avista,2025,7,99117,2
Avista,2025,7,99122,21
Avista,2025,7,99125,8
Avista,2025,7,99126,17
Avista,2025,7,99128,1
Avista,2025,7,99129,11
Avista,2025,7,99130,3
Avista,2025,7,99134,6
Avista,2025,7,99137,8
Avista,2025,7,99138,28
Avista,2025,7,99141,60
Avista,2025,7,99143,6
Avista,2025,7,99146,1
Avista,2025,7,99148,31
Avista,2025,7,99149,4
Avista,2025,7,99151,4
Avista,2025,7,99157,11
Avista,2025,7,99158,7
Avista,2025,7,99159,10
Avista,2025,7,99160,2
Avista,2025,7,99161,13
Avista,2025,7,99163,211
Avista,2025,7,99167,8
Avista,2025,7,99169,37
Avista,2025,7,99170,3
Avista,2025,7,99171,9
Avista,2025,7,99173,41
Avista,2025,7,99179,7
Avista,2025,7,99181,26
Avista,2025,7,99185,12
Avista,2025,7,99201,218
Avista,2025,7,99202,299
Avista,2025,7,99203,172
Avista,2025,7,99204,110
Avista,2025,7,99205,595
Avista,2025,7,99206,278
Avista,2025,7,99207,531
Avista,2025,7,99208,669
Avista,2025,7,99212,312
Avista,2025,7,99216,214
Avista,2025,7,99217,245
Avista,2025,7,99218,157
Avista,2025,7,99223,289
Avista,2025,7,99224,214
Avista,2025,7,99326,1
Avista,2025,7,99341,9
Avista,2025,7,99344,147
Avista,2025,7,99371,8
Avista,2025,7,99402,21
Avista,2025,7,99403,221
Avista,2025,8,98620,4
Avista,2025,8,98648,4
Avista,2025,8,99001,65
Avista,2025,8,99003,26
Avista,2025,8,99004,27
Avista,2025,8,99005,61
Avista,2025,8,99006,84
