Utility,Year,Month,Zip Code,Late Fee Amount
CNG,2023,11,98247,0.0
Avista,2024,8,99025,0.0
NWN,2023,9,98684,0.0
CNG,2024,2,98345,0.0
PSE,2025,4,98108,0.0
CNG,2023,3,98314,0.0
PAC,2022,9,98923,0.0
NWN,2025,11,98628,0.0
CNG,2022,3,98223,0.0
Avista,2021,7,99019,0.0
PSE,2020,9,98332,0.0
CNG,2022,4,98625,0.0
NWN,2024,6,98612,0.0
Avista,2021,3,99018,0.0
CNG,2023,10,98953,0.0
Avista,2024,6,99161,0.0
CNG,2020,2,98248,0.0
PSE,2020,9,98239,0.0
PSE,2024,11,98409,0.0
PSE,2023,1,98366,0.0
PSE,2024,4,98011,0.0
CNG,2022,6,98528,0.0
NWN,2024,4,98612,0.0
Avista,2024,8,99146,0.0
CNG,2021,1,98314,0.0
Avista,2023,12,99402,0.0
Avista,2024,4,99006,0.0
Avista,2022,1,99201,0.0
PAC,2022,11,99329,0.0
Avista,2025,8,99202,0.0
PSE,2024,4,98057,0.0
PSE,2021,11,98177,0.0
Avista,2025,7,99218,0.0
PSE,2025,2,98596,0.0
NWN,2023,7,98612,0.0
PSE,2021,2,98498,0.0
PSE,2020,3,98010,0.0
Avista,2021,12,99013,0.0
PSE,2024,12,98204,0.0
PSE,2022,4,98373,0.0
NWN,2023,6,98668,0.0
PAC,2023,1,99328,0.0
Avista,2021,5,99169,0.0
CNG,2022,4,98282,0.0
CNG,2020,9,98366,0.0
PSE,2024,11,98922,0.0
PSE,2024,11,98045,0.0
PSE,2022,12,98374,0.0
PSE,2023,12,98012,0.0
PSE,2025,3,98405,0.0
PSE,2023,3,98422,0.0
PSE,2022,2,98332,0.0
PAC,2021,10,99348,0.0
NWN,2025,7,98675,0.0
PSE,2023,5,98224,0.0
Avista,2025,7,99403,0.0
CNG,2020,1,99338,0.0
CNG,2021,6,98903,0.0
PSE,2021,3,98272,0.0
NWN,2024,3,98127,0.0
Avista,2021,8,99003,0.0
PSE,2020,6,98021,0.0
PSE,2021,10,98391,0.0
CNG,2024,9,98264,0.0
Avista,2021,1,99130,0.0
NWN,2020,12,97301,0.0
PAC,2023,12,99324,0.0
PAC,2022,4,99362,0.0
Avista,2022,11,99003,0.0
PSE,2023,8,98033,0.0
PSE,2020,6,98155,0.0
PSE,2024,6,98204,0.0
PSE,2025,6,98125,0.0
Avista,2025,6,99164,0.0
CNG,2022,5,98802,0.0
Avista,2022,2,99011,0.0
Avista,2023,3,99103,0.0
Avista,2020,5,99174,0.0
Avista,2021,2,99216,0.0
Avista,2023,1,99260,0.0
NWN,2022,8,98662,0.0
NWN,2025,1,98610,0.0
PSE,2022,12,98516,0.0
CNG,2025,1,98274,0.0
PSE,2022,4,98424,0.0
PSE,2022,9,98374,0.0
PSE,2020,6,98310,0.0
PSE,2021,12,98028,0.0
Avista,2023,5,99009,0.0
NWN,2020,4,98610,0.0
NWN,2025,9,98664,0.0
PSE,2024,4,98406,0.0
CNG,2023,1,99337,0.0
Avista,2021,10,99174,0.0
Avista,2023,9,99143,0.0
NWN,2024,10,98682,0.0
NWN,2024,9,98662,0.0
PSE,2024,2,98388,0.0
Avista,2022,9,99170,0.0
CNG,2022,1,98257,0.0
PSE,2022,7,98122,0.0
PAC,2024,9,98923,0.0
PSE,2020,6,98390,0.0
PSE,2021,3,98402,0.0
PSE,2022,12,98501,0.0
NWN,2022,3,98307,0.0
Avista,2023,3,99104,0.0
Avista,2024,10,99026,0.0
Avista,2022,2,99205,0.0
PSE,2020,10,98233,0.0
Avista,2025,10,99034,0.0
PAC,2020,8,98935,0.0
PSE,2021,2,98053,0.0
PSE,2024,12,98248,0.0
Avista,2025,7,99216,0.0
PSE,2024,11,98445,0.0
CNG,2023,9,98226,0.0
PSE,2023,10,98439,0.0
PSE,2022,6,98126,0.0
CNG,2020,7,98902,0.0
