Utility,Year,Month,Zip Code,Bad Debt Amount
Avista,2025,5,99173,6374.3
Avista,2025,5,99181,1604.83
Avista,2025,5,99185,244.26
Avista,2025,5,99201,18966.79
Avista,2025,5,99202,28254.9
Avista,2025,5,99203,13525.2
Avista,2025,5,99204,8643.53
Avista,2025,5,99205,41675.82
Avista,2025,5,99206,12305.73
Avista,2025,5,99207,54694.28
Avista,2025,5,99208,52197.56
Avista,2025,5,99212,15235.14
Avista,2025,5,99216,10434.48
Avista,2025,5,99217,20250.48
Avista,2025,5,99218,11623.37
Avista,2025,5,99223,14499.2
Avista,2025,5,99224,13506.09
Avista,2025,5,99341,675.49
Avista,2025,5,99344,12058.76
Avista,2025,5,99402,2075.2
Avista,2025,5,99403,14093.18
Avista,2025,6,98620,951.88
Avista,2025,6,98648,428.13
Avista,2025,6,99001,6283.4
Avista,2025,6,99003,1002.89
Avista,2025,6,99004,5839.25
Avista,2025,6,99005,2681.23
Avista,2025,6,99006,15447.57
Avista,2025,6,99008,1488.96
Avista,2025,6,99009,2011.0
Avista,2025,6,99012,411.45
Avista,2025,6,99013,1918.32
Avista,2025,6,99016,23416.81
Avista,2025,6,99019,4061.55
Avista,2025,6,99021,20515.54
Avista,2025,6,99022,8007.81
Avista,2025,6,99025,6109.21
Avista,2025,6,99026,1729.17
Avista,2025,6,99027,6642.58
Avista,2025,6,99029,4238.47
Avista,2025,6,99030,600.29
Avista,2025,6,99031,7364.49
Avista,2025,6,99032,1678.91
Avista,2025,6,99033,2301.07
Avista,2025,6,99037,8006.89
Avista,2025,6,99101,3941.75
Avista,2025,6,99102,313.13
Avista,2025,6,99109,4128.1
Avista,2025,6,99110,605.0
Avista,2025,6,99111,4513.96
Avista,2025,6,99114,14437.02
Avista,2025,6,99117,1632.61
Avista,2025,6,99122,4327.56
Avista,2025,6,99126,1763.44
Avista,2025,6,99129,5332.41
Avista,2025,6,99130,908.4
Avista,2025,6,99134,965.09
Avista,2025,6,99138,2531.52
Avista,2025,6,99141,2427.83
Avista,2025,6,99148,2881.31
Avista,2025,6,99149,332.76
Avista,2025,6,99151,1478.32
Avista,2025,6,99157,2873.22
Avista,2025,6,99158,28.09
Avista,2025,6,99159,2195.8
Avista,2025,6,99161,463.16
Avista,2025,6,99163,34509.4
Avista,2025,6,99167,1373.17
Avista,2025,6,99169,10464.46
Avista,2025,6,99171,739.5
Avista,2025,6,99173,4440.92
Avista,2025,6,99179,546.57
Avista,2025,6,99181,12275.53
Avista,2025,6,99185,108.25
Avista,2025,6,99201,45762.26
Avista,2025,6,99202,37487.81
Avista,2025,6,99203,17458.56
Avista,2025,6,99204,23267.69
Avista,2025,6,99205,62176.57
Avista,2025,6,99206,27012.01
Avista,2025,6,99207,100668.12
Avista,2025,6,99208,83628.84
Avista,2025,6,99212,40417.07
Avista,2025,6,99216,21016.15
Avista,2025,6,99217,44349.75
Avista,2025,6,99218,19058.58
Avista,2025,6,99223,27078.19
Avista,2025,6,99224,29213.39
Avista,2025,6,99326,148.43
Avista,2025,6,99341,2006.31
Avista,2025,6,99344,8740.64
Avista,2025,6,99402,1817.1
Avista,2025,6,99403,22280.54
Avista,2025,7,98620,1247.59
Avista,2025,7,98648,1052.46
Avista,2025,7,99001,9239.74
Avista,2025,7,99003,1456.19
Avista,2025,7,99004,2917.32
Avista,2025,7,99005,3886.19
Avista,2025,7,99006,7023.29
Avista,2025,7,99008,250.0
Avista,2025,7,99009,1726.84
Avista,2025,7,99012,3227.38
Avista,2025,7,99013,4499.06
Avista,2025,7,99016,17373.85
Avista,2025,7,99019,8356.92
Avista,2025,7,99021,7753.66
Avista,2025,7,99022,3159.21
Avista,2025,7,99025,452.16
Avista,2025,7,99026,752.3
Avista,2025,7,99027,7162.84
Avista,2025,7,99029,2567.68
Avista,2025,7,99030,1152.96
Avista,2025,7,99031,1837.22
Avista,2025,7,99037,3033.07
Avista,2025,7,99040,1286.94
Avista,2025,7,99101,1413.33
Avista,2025,7,99102,2416.15
Avista,2025,7,99103,3644.49
Avista,2025,7,99109,4626.69
Avista,2025,7,99110,888.84
Avista,2025,7,99111,3171.15
Avista,2025,7,99114,16663.71
Avista,2025,7,99117,1909.95
Avista,2025,7,99122,810.35
Avista,2025,7,99126,820.41
Avista,2025,7,99134,83.2
Avista,2025,7,99138,3091.03
Avista,2025,7,99141,10340.23
Avista,2025,7,99148,5558.2
Avista,2025,7,99157,598.23
Avista,2025,7,99158,789.45
Avista,2025,7,99159,2110.78
Avista,2025,7,99163,36529.81
Avista,2025,7,99167,543.3
Avista,2025,7,99169,2764.81
Avista,2025,7,99170,1011.47
Avista,2025,7,99173,7189.74
Avista,2025,7,99179,526.74
Avista,2025,7,99181,2922.53
Avista,2025,7,99185,1058.06
Avista,2025,7,99201,34952.57
Avista,2025,7,99202,40455.94
Avista,2025,7,99203,14214.94
Avista,2025,7,99204,24949.81
Avista,2025,7,99205,60352.58
Avista,2025,7,99206,35063.38
Avista,2025,7,99207,81090.44
Avista,2025,7,99208,55311.21
Avista,2025,7,99212,31789.56
Avista,2025,7,99216,25058.2
Avista,2025,7,99217,24095.57
Avista,2025,7,99218,14451.03
Avista,2025,7,99223,29630.77
Avista,2025,7,99224,22204.07
Avista,2025,7,99341,1281.43
Avista,2025,7,99344,12078.4
Avista,2025,7,99371,365.76
Avista,2025,7,99402,1382.28
Avista,2025,7,99403,25778.83
Avista,2025,8,98620,581.03
Avista,2025,8,99001,5238.48
Avista,2025,8,99003,3384.54
Avista,2025,8,99004,4041.49
Avista,2025,8,99005,1912.54
Avista,2025,8,99006,5131.95
Avista,2025,8,99009,5546.28
Avista,2025,8,99012,495.31
Avista,2025,8,99013,342.16
Avista,2025,8,99016,12708.34
Avista,2025,8,99019,1742.93
Avista,2025,8,99021,3167.05
Avista,2025,8,99022,10274.82
Avista,2025,8,99025,1208.39
Avista,2025,8,99026,3773.3
Avista,2025,8,99027,1443.05
Avista,2025,8,99029,2761.31
Avista,2025,8,99030,38.73
Avista,2025,8,99032,967.21
Avista,2025,8,99033,1734.4
Avista,2025,8,99037,2789.64
Avista,2025,8,99040,1476.91
Avista,2025,8,99101,978.37
Avista,2025,8,99103,415.97
Avista,2025,8,99109,12917.09
Avista,2025,8,99110,736.21
Avista,2025,8,99111,1917.66
Avista,2025,8,99114,3463.41
Avista,2025,8,99117,477.54
Avista,2025,8,99122,5266.88
Avista,2025,8,99126,264.81
Avista,2025,8,99128,164.52
Avista,2025,8,99129,782.6
Avista,2025,8,99130,653.53
Avista,2025,8,99134,2554.06
Avista,2025,8,99137,418.73
Avista,2025,8,99138,337.1
Avista,2025,8,99141,1681.34
Avista,2025,8,99143,689.0
Avista,2025,8,99146,46.72
Avista,2025,8,99148,987.23
Avista,2025,8,99157,3400.27
Avista,2025,8,99159,2783.3
Avista,2025,8,99160,225.99
Avista,2025,8,99161,1545.13
Avista,2025,8,99163,36449.34
Avista,2025,8,99169,1251.32
Avista,2025,8,99170,1091.88
Avista,2025,8,99171,337.62
Avista,2025,8,99173,2212.06
Avista,2025,8,99181,1000.74
Avista,2025,8,99201,23310.51
Avista,2025,8,99202,21016.77
Avista,2025,8,99203,14273.22
Avista,2025,8,99204,11341.13
Avista,2025,8,99205,49224.66
Avista,2025,8,99206,20152.67
Avista,2025,8,99207,55956.79
Avista,2025,8,99208,44737.42
Avista,2025,8,99212,24094.54
Avista,2025,8,99216,19905.17
Avista,2025,8,99217,18393.3
Avista,2025,8,99218,16561.03
Avista,2025,8,99223,17701.49
Avista,2025,8,99224,18344.96
Avista,2025,8,99341,981.04
Avista,2025,8,99344,15219.37
Avista,2025,8,99371,690.0
Avista,2025,8,99402,715.79
Avista,2025,8,99403,14549.59
Avista,2025,9,98620,1165.72
Avista,2025,9,99001,3060.43
Avista,2025,9,99003,311.51
Avista,2025,9,99004,2025.18
Avista,2025,9,99005,1938.58
Avista,2025,9,99006,7462.54
Avista,2025,9,99008,588.27
Avista,2025,9,99009,242.63
Avista,2025,9,99012,932.64
Avista,2025,9,99013,19592.36
Avista,2025,9,99016,18348.59
Avista,2025,9,99019,5133.29
Avista,2025,9,99021,1774.41
Avista,2025,9,99022,5020.44
