Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
PSE,2025,5,98290,60 Days,14572.23
PSE,2020,5,98052,90 Days +,118708.22
PSE,2023,9,98109,Total Arrearages,127928.739999999
Avista,2025,8,99341,60 Days,2307.97
PAC,2022,4,98603,30 Days,0.0
PSE,2023,7,98126,60 Days,38471.43
PSE,2022,6,98198,90 Days +,918153.3
PAC,2022,6,98953,90 Days +,172821.17
Avista,2024,2,99204,30 Days,28997.51
NWN,2022,9,97388,Total Arrearages,0.0
PAC,2021,9,98904,60 Days,0.0
PSE,2023,11,98589,60 Days,26464.61
NWN,2023,7,98604,90 Days +,0.0
PAC,2022,11,98935,30 Days,19710.66
PSE,2025,7,98263,30 Days,404.65
PAC,2024,9,98944,30 Days,175318.11
Avista,2020,9,99160,90 Days +,1561.96
PSE,2022,5,98402,Total Arrearages,18880.91
PSE,2025,9,98040,Total Arrearages,302251.969999999
PAC,2025,9,99361,90 Days +,11474.51
PSE,2022,3,98337,Total Arrearages,345418.73
PSE,2024,12,98109,90 Days +,54085.51
Avista,2025,3,99027,60 Days,8361.52
PSE,2023,11,98050,Total Arrearages,6381.38
PAC,2023,11,98902,90 Days +,890058.86
PSE,2021,2,98108,90 Days +,57228.97
PAC,2024,6,98920,60 Days,0.0
NWN,2024,4,98642,60 Days,40246.14
PSE,2023,10,98247,60 Days,24050.56
PSE,2025,8,98342,Total Arrearages,37647.66
PSE,2023,4,98273,90 Days +,301943.77
PSE,2020,6,98068,30 Days,6929.63
Avista,2023,9,99149,60 Days,573.85
CNG,2023,1,98944,90 Days +,16660.69
PSE,2022,7,98421,60 Days,258.82
PSE,2020,12,98403,90 Days +,24523.67
PSE,2024,11,98037,Total Arrearages,196941.33
PSE,2022,4,98247,90 Days +,132484.37
CNG,2023,8,98273,60 Days,15217.49
Avista,2024,11,99009,Total Arrearages,11685.91
PSE,2023,5,98360,Total Arrearages,684387.059999999
PSE,2021,9,98353,Total Arrearages,785.0
Avista,2025,12,99148,Total Arrearages,21132.74
PSE,2021,10,98019,60 Days,16015.76
NWN,2025,1,98307,30 Days,0.0
PSE,2022,4,98070,60 Days,42190.76
Avista,2024,6,99102,90 Days +,1542.87
NWN,2024,12,98762,90 Days +,0.0
PSE,2024,2,98292,60 Days,2204.84
Avista,2025,3,99151,Total Arrearages,4214.4
PSE,2022,3,98051,Total Arrearages,170478.37
PSE,2024,9,98580,90 Days +,263336.379999999
PSE,2022,1,98034,30 Days,106935.91
PSE,2023,9,98391,60 Days,173681.08
CNG,2021,8,98837,30 Days,1158.56
CNG,2021,4,99352,90 Days +,23470.6
PSE,2023,10,98396,Total Arrearages,25438.49
PSE,2024,12,98011,90 Days +,310046.94
PAC,2021,3,98938,90 Days +,50224.2
Avista,2022,10,99019,Total Arrearages,218193.37
Avista,2021,11,99204,30 Days,15089.72
PSE,2022,12,98576,Total Arrearages,309183.56
PAC,2023,4,99361,Total Arrearages,9726.23
PSE,2020,7,98001,60 Days,67860.14
Avista,2025,2,99151,90 Days +,1204.98
PSE,2025,9,98033,60 Days,49086.64
PSE,2020,10,98558,90 Days +,1641.11
PSE,2023,5,98597,60 Days,241819.34
PSE,2025,9,98251,Total Arrearages,11488.35
CNG,2021,6,98312,60 Days,15948.27
PSE,2025,2,98204,60 Days,20480.03
CNG,2022,12,98370,60 Days,1145.89
PSE,2020,9,98037,90 Days +,39904.46
Avista,2023,1,99224,90 Days +,80385.31
PSE,2024,11,98117,30 Days,15844.81
Avista,2022,11,99202,30 Days,28506.56
PSE,2022,12,98252,60 Days,2566.1
CNG,2025,3,98550,Total Arrearages,36351.0
